type,book_id,title,detail,sinksar_name,app_notes,shared,coverage,expected
A_annual_vs_monthly,AM-MEL-047,የቅዱስ ዮሐንስ 2ኛ መልክዕ በአማርኛ,10/4,ቅዱስ ዮሐንስ ዘሐራቅሊ (ሰማዕት),MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,GZ-MEL-061,መልክዐ ቅዱስ ዮሐንስ ካልእ በግእዝ,10/4,ቅዱስ ዮሐንስ ዘሐራቅሊ (ሰማዕት),MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,GZ-MEL-062,መልክዐ ቅዱስ ዮሐንስ ወንጌላዊ በግእዝ,10/4,ቅዱስ ዮሐንስ ዘሐራቅሊ (ሰማዕት),MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,GZ-MEL-149,መልክዐ ዮሐንስ ወልደ ነጎድጓድ በግእዝ,10/4,ቅዱስ ዮሐንስ ዘሐራቅሊ (ሰማዕት),MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,GZ-MEL-150,መልክዐ ዮሐንስ ፍቁረ እግዚእ በግእዝ,10/4,ቅዱስ ዮሐንስ ዘሐራቅሊ (ሰማዕት),MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,AM-DRS-001,የቅዱስ ኢያቄምና- የቅድስት ሐና ድርሳን በአማርኛ,10/11,"""፩,0፰፰"" ሰማዕታት (የቅዱስ ገላውዴዎስ ማኅበር)",MONTHLY,የቅዱስ,,
A_annual_vs_monthly,AM-MEL-022,መልክዐ አብርሃም ይሥሐቅ ያዕቆብ በአማርኛ,10/28,ቅዱስ ያዕቆብ ዘእልበረዳይ,MONTHLY,ያዕቆብ,,
A_annual_vs_monthly,GZ-MEL-124,መልክዐ አብርሃም ይሥሐቅ ወያዕቆብ በግእዝ,10/28,ቅዱስ ያዕቆብ ዘእልበረዳይ,MONTHLY,ያዕቆብ,,
A_annual_vs_monthly,AM-GDL-013,የቅዱስ ዮሐንስ ገድል በአማርኛ,11/4,ቅዱሳን ሰማዕታት አቡቂርና ዮሐንስ (ቅዳሴ ቤታቸው),MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,AM-MEL-016,መልክዐ ቅዱስ ዮሐንስ ወንጌላዊ በአማርኛ,11/4,ቅዱሳን ሰማዕታት አቡቂርና ዮሐንስ (ቅዳሴ ቤታቸው),MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,AM-MEL-047,የቅዱስ ዮሐንስ 2ኛ መልክዕ በአማርኛ,11/4,ቅዱሳን ሰማዕታት አቡቂርና ዮሐንስ (ቅዳሴ ቤታቸው),MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,GZ-MEL-061,መልክዐ ቅዱስ ዮሐንስ ካልእ በግእዝ,11/4,ቅዱሳን ሰማዕታት አቡቂርና ዮሐንስ (ቅዳሴ ቤታቸው),MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,GZ-MEL-062,መልክዐ ቅዱስ ዮሐንስ ወንጌላዊ በግእዝ,11/4,ቅዱሳን ሰማዕታት አቡቂርና ዮሐንስ (ቅዳሴ ቤታቸው),MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,GZ-MEL-149,መልክዐ ዮሐንስ ወልደ ነጎድጓድ በግእዝ,11/4,ቅዱሳን ሰማዕታት አቡቂርና ዮሐንስ (ቅዳሴ ቤታቸው),MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,GZ-MEL-150,መልክዐ ዮሐንስ ፍቁረ እግዚእ በግእዝ,11/4,ቅዱሳን ሰማዕታት አቡቂርና ዮሐንስ (ቅዳሴ ቤታቸው),MONTHLY,ዮሐንስ,,
A_annual_vs_monthly,AM-GDL-030,ገድለ ሰማዕት ቅዱስ ቴዎድሮስ በአማርኛ,11/20,ቅዱስ ወክቡር ማር ቴዎድሮስ ሰማዕት (የሠራዊት አለቃ),MONTHLY,ቴዎድሮስ,,
A_annual_vs_monthly,GZ-GDL-030,ገድለ ቅዱስ ቴዎድሮስ በግእዝ,11/20,ቅዱስ ወክቡር ማር ቴዎድሮስ ሰማዕት (የሠራዊት አለቃ),MONTHLY,ቴዎድሮስ,,
A_annual_vs_monthly,GZ-GDL-031,ገድለ ሰማዕት ቅዱስ ቴዎድሮስ በግእዝ,11/20,ቅዱስ ወክቡር ማር ቴዎድሮስ ሰማዕት (የሠራዊት አለቃ),MONTHLY,ቴዎድሮስ,,
A_annual_vs_monthly,GZ-MEL-040,መልክዐ ሰማዕት ቅዱስ ቴዎድሮስ በግእዝ,11/20,ቅዱስ ወክቡር ማር ቴዎድሮስ ሰማዕት (የሠራዊት አለቃ),MONTHLY,ቴዎድሮስ,,
A_annual_vs_monthly,AM-GDL-004,ገድለ ተክለ ሃይማኖት በአማርኛ,11/24,አባ ተክለ አዶናይ ዘደብረ ሊባኖስ,MONTHLY,ተክለ,,
A_annual_vs_monthly,AM-MEL-057,የአቡነ ተክለ ሃይማኖት 2ኛ መልክዕ በአማርኛ,11/24,አባ ተክለ አዶናይ ዘደብረ ሊባኖስ,MONTHLY,ተክለ,,
A_annual_vs_monthly,AM-MEL-058,የአቡነ ተክለ ሃይማኖት መልክዕ በአማርኛ,11/24,አባ ተክለ አዶናይ ዘደብረ ሊባኖስ,MONTHLY,ተክለ,,
A_annual_vs_monthly,GZ-MEL-068,መልክዐ ተክለ ሃይማኖት በግእዝ,11/24,አባ ተክለ አዶናይ ዘደብረ ሊባኖስ,MONTHLY,ተክለ,,
A_annual_vs_monthly,GZ-MEL-069,መልክዐ ተክለ ሃይማኖት ካልእ በግእዝ,11/24,አባ ተክለ አዶናይ ዘደብረ ሊባኖስ,MONTHLY,ተክለ,,
A_annual_vs_monthly,GZ-MEL-092,መልክዐ አቡነ ተክለ ሃይማኖት በግእዝ,11/24,አባ ተክለ አዶናይ ዘደብረ ሊባኖስ,MONTHLY,ተክለ,,
A_annual_vs_monthly,AM-DRS-001,የቅዱስ ኢያቄምና- የቅድስት ሐና ድርሳን በአማርኛ,12/11,"""34"" ሰማዕታት (የቅዱስ ፋሲለደስ ማሕበር)",MONTHLY,የቅዱስ,,
A_annual_vs_monthly,GZ-MEL-041,መልክዐ ሰማዕት ቅዱስ ፋሲለደስ በግእዝ,12/11,"""34"" ሰማዕታት (የቅዱስ ፋሲለደስ ማሕበር)",MONTHLY,ፋሲለደስ,,
A_annual_vs_monthly,AM-GDL-023,የቅዱስ ቂርቆስና የቅድስት ኢየሉጣ ገድል በአማርኛ,12/15,፴፻ ሰማዕታት (የቅድስት ክርስቲና ማሕበር),MONTHLY,የቅድስት,,
A_annual_vs_monthly,GZ-MEL-008,መልክዐ ሊቀ መላእክት ቅዱስ ሱርያል በግእዝ,12/27,ቅዱስ ሱርያል ሊቀ መላእክት,MONTHLY,ሱርያል,,
A_annual_vs_monthly,AM-MEL-022,መልክዐ አብርሃም ይሥሐቅ ያዕቆብ በአማርኛ,12/28,ቅዱስ አብርሃም (የአባቶች አለቃ),MONTHLY,አብርሃም,,
A_annual_vs_monthly,GZ-MEL-124,መልክዐ አብርሃም ይሥሐቅ ወያዕቆብ በግእዝ,12/28,ቅዱስ አብርሃም (የአባቶች አለቃ),MONTHLY,አብርሃም,,
A_annual_vs_monthly,AM-MEL-022,መልክዐ አብርሃም ይሥሐቅ ያዕቆብ በአማርኛ,12/28,ቅዱስ ያዕቆብ (የአባቶች አለቃ),MONTHLY,ያዕቆብ,,
A_annual_vs_monthly,GZ-MEL-124,መልክዐ አብርሃም ይሥሐቅ ወያዕቆብ በግእዝ,12/28,ቅዱስ ያዕቆብ (የአባቶች አለቃ),MONTHLY,ያዕቆብ,,
B_zero_at_day_INFO,AM-MEL-016,መልክዐ ቅዱስ ዮሐንስ ወንጌላዊ በአማርኛ,monthly day 22,ሉቃስ ወንጌላዊ,,ንጌላዊ,0,12
B_zero_at_day_INFO,GZ-MEL-062,መልክዐ ቅዱስ ዮሐንስ ወንጌላዊ በግእዝ,monthly day 22,ሉቃስ ወንጌላዊ,,ንጌላዊ,0,12
B_zero_at_day_INFO,GZ-GDL-001,ገድለ አቡነ ፊልጶስ ዘደብረ ሊባኖስ በግእዝ,monthly day 3,ሊባኖስ ዘመጣዕ,,ሊባኖስ,0,13
B_zero_at_day_INFO,GZ-MEL-088,መልክዐ አቡነ ቡሩከ አምላክ ዘደብረ ኮል በግእዝ,monthly day 23,ልበ አምላክ ቅዱስ ዳዊት,,አምላክ,0,12
B_zero_at_day_INFO,GZ-MEL-089,መልክዐ አቡነ ብፁዓ አምላክ ዘደብረ ምዕዋን ወዘደብረ ኰዳዱ በግእዝ,monthly day 23,ልበ አምላክ ቅዱስ ዳዊት,,አምላክ,0,12
B_zero_at_day_INFO,AM-MZM-001,መዝሙረ ዳዊት በአማርኛ,monthly day 23,ልበ አምላክ ቅዱስ ዳዊት,,ዳዊት,0,12
