book_id,language_id,category_id,main_category_id,sub_category_id,subject_category,title,total_chapters,weekday_chapter_count,weekday_chapters,matched_mapped_books,matched_csv_groups,unmapped_cluster
GZ-MEL-033,GZ,MEL,MC-06,SC-06-03,TSADQAN,መልክዐ ሠለስቱ ምዕት በግእዝ,1,0,,,,
GZ-MEL-034,GZ,MEL,MC-06,SC-06-01,AMLAK,መልክዐ ሥሉስ ቅዱስ በግእዝ,1,1,C1:መልክዐ ሥሉስ ቅዱስ በግእዝ,,,
GZ-MEL-038,GZ,MEL,MC-06,SC-06-03,TSADQAN,መልክዐ ሰላማ በግእዝ,1,0,,,,
GZ-MEL-041,GZ,MEL,MC-06,SC-06-03,SAMAET,መልክዐ ሰማዕት ቅዱስ ፋሲለደስ በግእዝ,1,0,,,,
GZ-MEL-048,GZ,MEL,MC-06,SC-06-03,TSADQAN,መልክዐ ቅዱሳን ዘመጠራ በግእዝ,1,0,,,,
GZ-MEL-056,GZ,MEL,MC-06,SC-06-03,SAMAET,መልክዐ ቅዱስ አባዲር በግእዝ,1,0,,,,GZ-GDL-026
GZ-MEL-067,GZ,MEL,MC-06,SC-06-01,AMLAK,መልክዐ ቍርባን በግዕዝ,1,0,,,,
GZ-MEL-070,GZ,MEL,MC-06,SC-06-03,TSADQAN,መልክዐ ተክለ ማርያም ዘይሰመይ መብዓ ጽዮን በግእዝ,1,0,,AM-GDL-004 (ተክለ) ; AM-GDL-022 (ጽዮን) ; AM-MEL-057 (ተክለ) ; AM-MEL-058 (ተክለ) ; GZ-GDL-017 (ተክለ),"አቡነ ተክለ ሃይማኖት [ታኅሣሥ 24, ጥር 24, መጋቢት 24, ሚያዝያ 22, ግንቦት 12, ነሐሴ 24 / Monthly Day 24] (ተክለ)","GZ-MEL-093,GZ-MEL-113"
GZ-MEL-072,GZ,MEL,MC-06,SC-06-01,AMLAK,መልክዐ አማኑኤል በግእዝ,1,0,,,,
GZ-MEL-076,GZ,MEL,MC-06,SC-06-03,TSADQAN,መልክዐ አቡነ መርቆሬዎስ ዘደብረ ድማኅ በግእዝ,1,0,,AM-GDL-015 (መርቆሬዎስ) ; GZ-GDL-002 (መርቆሬዎስ) ; GZ-MEL-039 (መርቆሬዎስ),"ቅዱስ መርቆሬዎስ [ኅዳር 25, ጥር 25, ሐምሌ 25 / Monthly Day 25] (መርቆሬዎስ)",
