batch,section,group,book_id,title,language,final_dates,annual_dates_must_be_1,monthly_days,db_dates_is_annual_1,db_dates_is_annual_0,overlap_annual_plus_monthly_must_be_1,count_1,count_0,rows_expected,rows_in_db,flag_status,problem
Batch2,A,ቅዱስ መስቀል,GZ-MEL-051,መልክዐ ቅዱስ መስቀል በግእዝ,ግእዝ,"መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12 / Monthly Day 10","መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12",10,"መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12","ጥቅምት 10, ኅዳር 10, ታኅሣሥ 10, ጥር 10, የካቲት 10, ሚያዝያ 10, ግንቦት 10, ሰኔ 10, ሐምሌ 10, ነሐሴ 10","መስከረም 10, መጋቢት 10",10,10,20,20,PASS,
Batch2,A,ቅዱስ መስቀል,AM-MEL-012,መልክዐ ቅዱስ መስቀል በአማርኛ,አማርኛ,"መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12 / Monthly Day 10","መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12",10,"መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12","ጥቅምት 10, ኅዳር 10, ታኅሣሥ 10, ጥር 10, የካቲት 10, ሚያዝያ 10, ግንቦት 10, ሰኔ 10, ሐምሌ 10, ነሐሴ 10","መስከረም 10, መጋቢት 10",10,10,20,20,PASS,
Batch2,A,ቅዱስ መስቀል,GZ-MEL-050,መልክዐ ቅዱስ መስቀል ሣልስ በግእዝ,ግእዝ,"መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12 / Monthly Day 10","መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12",10,"መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12","ጥቅምት 10, ኅዳር 10, ታኅሣሥ 10, ጥር 10, የካቲት 10, ሚያዝያ 10, ግንቦት 10, ሰኔ 10, ሐምሌ 10, ነሐሴ 10","መስከረም 10, መጋቢት 10",10,10,20,20,PASS,
Batch2,A,ቅዱስ መስቀል,AM-MEL-040,የቅዱስ መስቀል 3ኛ መልክዕ በአማርኛ,አማርኛ,"መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12 / Monthly Day 10","መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12",10,"መስከረም 10, መስከረም 17, መስከረም 18, መስከረም 19, መስከረም 25, ኅዳር 8, መጋቢት 10, መጋቢት 27, ሚያዝያ 21, ነሐሴ 12","ጥቅምት 10, ኅዳር 10, ታኅሣሥ 10, ጥር 10, የካቲት 10, ሚያዝያ 10, ግንቦት 10, ሰኔ 10, ሐምሌ 10, ነሐሴ 10","መስከረም 10, መጋቢት 10",10,10,20,20,PASS,
Batch2,A,ሐራ ድንግል,GZ-MEL-021,መልክዐ ሐራ ድንግል በግእዝ,ግእዝ,"ጥር 11, ግንቦት 11 / Monthly Day 11","ጥር 11, ግንቦት 11",11,"ጥር 11, ግንቦት 11","መስከረም 11, ጥቅምት 11, ኅዳር 11, ታኅሣሥ 11, የካቲት 11, መጋቢት 11, ሚያዝያ 11, ሰኔ 11, ሐምሌ 11, ነሐሴ 11","ጥር 11, ግንቦት 11",2,10,12,12,PASS,
Batch2,A,ሐራ ድንግል,AM-MEL-019,መልክዐ አቡነ ሐራ ድንግል በአማርኛ,አማርኛ,"ጥር 11, ግንቦት 11 / Monthly Day 11","ጥር 11, ግንቦት 11",11,"ጥር 11, ግንቦት 11","መስከረም 11, ጥቅምት 11, ኅዳር 11, ታኅሣሥ 11, የካቲት 11, መጋቢት 11, ሚያዝያ 11, ሰኔ 11, ሐምሌ 11, ነሐሴ 11","ጥር 11, ግንቦት 11",2,10,12,12,PASS,
Batch2,A,መርምሕናም,GZ-MEL-049,መልክዐ ቅዱስ መርምሕናም በግእዝ,ግእዝ,"ታኅሣሥ 14, ጥር 20","ታኅሣሥ 14, ጥር 20",,"ታኅሣሥ 14, ጥር 20",,,2,0,2,2,PASS,
Batch2,A,መርምሕናም,AM-MEL-039,የቅዱስ መርምሕናም መልክዕ በአማርኛ,አማርኛ,"ታኅሣሥ 14, ጥር 20","ታኅሣሥ 14, ጥር 20",,"ታኅሣሥ 14, ጥር 20",,,2,0,2,2,PASS,
Batch2,A,ዕጨጌ ዮሐንስ,GZ-MEL-104,መልክዐ አቡነ ዕጨጌ ዮሐንስ በግእዝ,ግእዝ,ሐምሌ 29,ሐምሌ 29,,ሐምሌ 29,,,1,0,1,1,PASS,
Batch2,A,ዕጨጌ ዮሐንስ,AM-MEL-020,መልክዐ አቡነ ዕጨጌ ዮሐንስ በአማርኛ,አማርኛ,ሐምሌ 29,ሐምሌ 29,,ሐምሌ 29,,,1,0,1,1,PASS,
Batch2,A,አፍጼ,GZ-MEL-101,መልክዐ አቡነ አፍጼ በግእዝ,ግእዝ,ግንቦት 29,ግንቦት 29,,ግንቦት 29,,,1,0,1,1,PASS,
Batch2,A,አፍጼ,AM-MEL-024,መልክዐ አፍጼ በአማርኛ,አማርኛ,ግንቦት 29,ግንቦት 29,,ግንቦት 29,,,1,0,1,1,PASS,
