book_id,title,saint_core,sinksar_correct_dates,tselot_current_dates,missing_dates_to_add,extra_dates_to_remove,status
GZ-MEL-032,መልክዐ ማርያም በግእዝ,ማርያም,"[(2, 30), (8, 30)]","[(1, 21), (2, 21), (3, 21), (4, 21), (5, 21), (6, 21), (7, 21), (8, 21), (9, 1), (9, 21), (10, 21), (11, 21), (12, 16), (12, 21)]","[(2, 30), (8, 30)]","[(1, 21), (2, 21), (3, 21), (4, 21), (5, 21), (6, 21), (7, 21), (8, 21), (9, 1), (9, 21), (10, 21), (11, 21), (12, 16), (12, 21)]",MISMATCH
GZ-MEL-039,መልክዐ ሰማዕት ቅዱስ መርቆሬዎስ በግእዝ,መርቆሬዎስ,"[(1, 25), (2, 25), (3, 25), (3, 30), (4, 25), (6, 25), (7, 1), (7, 25), (8, 25), (9, 25), (10, 25), (12, 25)]","[(1, 25), (2, 25), (3, 25), (4, 25), (5, 25), (6, 25), (7, 25), (8, 25), (9, 25), (10, 25), (11, 25), (12, 25)]","[(3, 30), (7, 1)]","[(5, 25), (11, 25)]",MISMATCH
GZ-MEL-052,መልክዐ ቅዱስ ሚናስ በግእዝ,ሚናስ,"[(2, 7), (3, 11), (3, 15), (4, 15), (5, 15), (11, 15), (12, 15)]","[(1, 15), (2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15), (11, 15), (12, 15)]","[(2, 7), (3, 11)]","[(1, 15), (2, 15), (6, 15), (7, 15), (8, 15), (9, 15), (10, 15)]",MISMATCH
GZ-MEL-060,መልክዐ ቅዱስ ዮሐንስ መጥምቅ በግእዝ,ዮሐንስ መጥምቅ,"[(1, 26), (3, 12), (5, 11), (5, 21), (13, 1)]","[(1, 1), (1, 2), (1, 26), (1, 30), (2, 2), (2, 30), (3, 2), (3, 30), (4, 2), (4, 30), (5, 2), (5, 11), (5, 30), (6, 2), (6, 30), (7, 2), (7, 30), (8, 2), (8, 15), (8, 30), (9, 2), (9, 30), (10, 2), (10, 30), (11, 2), (11, 30), (12, 2), (12, 30), (13, 1)]","[(3, 12), (5, 21)]","[(1, 1), (1, 2), (1, 30), (2, 2), (2, 30), (3, 2), (3, 30), (4, 2), (4, 30), (5, 2), (5, 30), (6, 2), (6, 30), (7, 2), (7, 30), (8, 2), (8, 15), (8, 30), (9, 2), (9, 30), (10, 2), (10, 30), (11, 2), (11, 30), (12, 2), (12, 30)]",MISMATCH
GZ-MEL-070,መልክዐ ተክለ ማርያም ዘይሰመይ መብዓ ጽዮን በግእዝ,ማርያም,"[(2, 30), (8, 30)]","[(12, 13)]","[(2, 30), (8, 30)]","[(12, 13)]",MISMATCH
GZ-MEL-153,መልክዐ ገብረ ክርስቶስ በግእዝ,ገብረ ክርስቶስ,"[(5, 14), (10, 6)]","[(2, 14)]","[(5, 14), (10, 6)]","[(2, 14)]",MISMATCH
GZ-MEL-161,መልክዐ ጽዮን ማርያም ሣልስ በግእዝ,ማርያም,"[(2, 30), (8, 30)]","[(1, 21), (2, 21), (3, 21), (4, 21), (5, 21), (6, 21), (7, 21), (8, 21), (9, 1), (9, 21), (10, 21), (11, 21), (12, 16), (12, 21)]","[(2, 30), (8, 30)]","[(1, 21), (2, 21), (3, 21), (4, 21), (5, 21), (6, 21), (7, 21), (8, 21), (9, 1), (9, 21), (10, 21), (11, 21), (12, 16), (12, 21)]",MISMATCH
GZ-WUD-002,ውዳሴ ማርያም በግእዝ,ማርያም,"[(2, 30), (8, 30)]",[],"[(2, 30), (8, 30)]",[],MISMATCH
TI-RAY-001,ራእየ ማርያም ብትግርኛ,ማርያም,"[(2, 30), (8, 30)]","[(1, 21), (2, 21), (3, 21), (4, 21), (5, 21), (6, 21), (7, 21), (8, 21), (9, 1), (9, 21), (10, 21), (11, 21), (12, 16), (12, 21)]","[(2, 30), (8, 30)]","[(1, 21), (2, 21), (3, 21), (4, 21), (5, 21), (6, 21), (7, 21), (8, 21), (9, 1), (9, 21), (10, 21), (11, 21), (12, 16), (12, 21)]",MISMATCH
TI-WUD-001,ውዳሴ ማርያም ብትግርኛ,ማርያም,"[(2, 30), (8, 30)]",[],"[(2, 30), (8, 30)]",[],MISMATCH
GZ-GDL-002,ገድለ ሰማዕት ቅዱስ መርቆሬዎስ በግእዝ,መርቆሬዎስ,"[(1, 25), (2, 25), (3, 25), (3, 30), (4, 25), (6, 25), (7, 1), (7, 25), (8, 25), (9, 25), (10, 25), (12, 25)]","[(1, 25), (2, 25), (3, 25), (4, 25), (5, 25), (6, 25), (7, 25), (8, 25), (9, 25), (10, 25), (11, 25), (12, 25)]","[(3, 30), (7, 1)]","[(5, 25), (11, 25)]",MISMATCH
AM-GDL-010,ገድለ ሰማዕታት በአማርኛ,ሰማዕታት,"[(7, 20), (8, 26)]","[(3, 4), (6, 12)]","[(7, 20), (8, 26)]","[(3, 4), (6, 12)]",MISMATCH
